Groupe;Aides;
Altice France;6105431;
Bayard;4928769;
Groupe Amaury;1283800;
Groupe EBRA;5886569;
Groupe Figaro;5699521;
Groupe La Dépêche du Midi;3405675;
Groupe La Montagne;1832937;
Groupe La Provence;682694;
Groupe NRCO;37869;
Groupe Sebdo-Le Point;292951;
Groupe Sud Ouest;465637;
Groupe Télégramme;1371177;
Hersant Média;528556;
Hildegarde;252012;
Hima Groupe;125404;
Indépendants;25627991;
La Voix du Nord SA;2047390;
Lagardère Active;480946;
Lagardère SCA;1098623;
Le Monde SA;6852548;
Les Journaux du midi;620018;
LVMH;11498343;
Media participations;362151;
Reworld Media;211200;
Xavier Niel;575941;